#Generated over 205 cells

CCT5: MMD=0.2959, W2=9.2694
VPS18: MMD=0.2800, W2=8.7770
CHTOP: MMD=0.2934, W2=8.8824
OR4K1: MMD=0.2759, W2=9.2550
RPP14: MMD=0.3542, W2=9.5806
BGLAP: MMD=0.3585, W2=9.7581
WDR70: MMD=0.3376, W2=9.6754
CD2BP2: MMD=0.3489, W2=9.2689
GTF2E1: MMD=0.3271, W2=9.1452
CENPI: MMD=0.3092, W2=9.5247
PGD: MMD=0.3703, W2=9.2703
WDR55: MMD=0.3117, W2=8.9913
HMGN2: MMD=0.3360, W2=9.2409
RANBP2: MMD=0.3158, W2=8.9175
FDPS: MMD=0.3082, W2=9.3830
KATNB1: MMD=0.3208, W2=9.1481
GEMIN7: MMD=0.3038, W2=9.0646
SNRPD1: MMD=0.5001, W2=10.6436
AP2M1: MMD=0.2941, W2=8.8488
FAM136A: MMD=0.4149, W2=10.4360
ELL: MMD=0.2736, W2=8.5797
SNAPC1: MMD=0.3186, W2=9.1851
RNPC3: MMD=0.3361, W2=9.5813
STIL: MMD=0.2951, W2=9.0403
TAF1: MMD=0.3118, W2=9.6827
OGFOD1: MMD=0.3051, W2=9.0541
UPF2: MMD=0.2834, W2=8.8087
MRPL21: MMD=0.2719, W2=9.1302
MRPL14: MMD=0.3364, W2=9.1909
DDX55: MMD=0.3083, W2=8.9498
PIK3C3: MMD=0.3031, W2=9.0217
CTNNBL1: MMD=0.2442, W2=8.5782
NOP10: MMD=0.2794, W2=8.9206
TXN: MMD=0.3197, W2=9.0650
MASTL: MMD=0.3176, W2=9.2736
RPAP3: MMD=0.3554, W2=9.3162
SSBP1: MMD=0.3675, W2=9.6784
MRPL4: MMD=0.3271, W2=9.1933
RPL5: MMD=0.3678, W2=9.5831
EIF4E: MMD=0.3463, W2=9.3804
NUDT21: MMD=0.4000, W2=9.8523
TXNL4A: MMD=0.3524, W2=9.3338
TIMM22: MMD=0.3088, W2=9.0084
FCF1: MMD=0.3804, W2=9.5503
PPP1R12A: MMD=0.3019, W2=8.8938
CFDP1: MMD=0.2848, W2=8.7324
SS18L2: MMD=0.3320, W2=9.0995
URI1: MMD=0.2915, W2=8.9169
MRPS31: MMD=0.2944, W2=8.9238
SUGT1: MMD=0.2560, W2=8.5191
LRR1: MMD=0.3116, W2=9.0233
NDUFA8: MMD=0.2846, W2=8.9403
FAM72D: MMD=0.3054, W2=9.0215
GPKOW: MMD=0.3584, W2=9.6257
ARMC6: MMD=0.2945, W2=9.0768
LUC7L3: MMD=0.3030, W2=9.1113
ADSL: MMD=0.3146, W2=9.0827
OR2A1: MMD=0.2903, W2=8.9688
BANP: MMD=0.3177, W2=9.0809
HSP90B1: MMD=0.3581, W2=9.3544
SNRPB: MMD=0.3684, W2=9.6261
XRN1: MMD=0.2559, W2=9.0039
CDC26: MMD=0.4036, W2=10.0384
NAF1: MMD=0.2813, W2=8.8879
CDK2: MMD=0.2964, W2=8.9710
DDX23: MMD=0.3324, W2=9.3355
SRBD1: MMD=0.3248, W2=9.5582
PRKRIP1: MMD=0.3054, W2=9.0472
SRP68: MMD=0.3053, W2=9.3156
DNM1L: MMD=0.3496, W2=9.4809
NDUFA11: MMD=0.2921, W2=8.8500
N6AMT1: MMD=0.2867, W2=8.8594
FAF2: MMD=0.3071, W2=8.9074
SNRNP70: MMD=0.3405, W2=9.5056
HDAC3: MMD=0.3201, W2=9.1922
ARHGAP11B: MMD=0.2937, W2=8.8026
TRNP1: MMD=0.3085, W2=8.9387
HGS: MMD=0.3161, W2=9.1938
HUS1: MMD=0.2932, W2=8.7483
NFATC2IP: MMD=0.2977, W2=9.0226
PSMD7: MMD=0.3318, W2=9.8216
DR1: MMD=0.3082, W2=8.8532
LTB4R2: MMD=0.2909, W2=8.7803
KIF18A: MMD=0.2809, W2=8.9104
FARS2: MMD=0.3116, W2=9.1523
SKA3: MMD=0.3073, W2=9.0850
SEPSECS: MMD=0.2918, W2=9.1875
DDX56: MMD=0.3275, W2=9.2953
HIST2H2BF: MMD=0.3084, W2=8.8716
NMT1: MMD=0.2695, W2=8.8238
KRTAP4-7: MMD=0.3061, W2=9.1368
MCMBP: MMD=0.3315, W2=9.2229
CPSF1: MMD=0.3306, W2=9.1455
UBTF: MMD=0.3198, W2=8.9628
SLC25A3: MMD=0.2845, W2=9.0053
CTBP2: MMD=0.2960, W2=8.9645
CSH2: MMD=0.3293, W2=9.1358
PSMD13: MMD=0.2480, W2=8.8758
RBM42: MMD=0.3479, W2=9.3376
TADA2A: MMD=0.2615, W2=8.9765
SNRPG: MMD=0.3404, W2=9.3820
UBA2: MMD=0.2931, W2=8.9637
PELO: MMD=0.2656, W2=8.8670
MMGT1: MMD=0.2848, W2=8.7733
